Prob    Dim    iter    nfg     f              ||g||_inf
   1   5000      1    105  1.0012500D+06  1.2720000D+03
   2   5000     73    278  6.5187734D-08  8.8727015D-07
   3   5000     30    215  1.0189007D-09  4.5509854D-07
   4   5000     37    163  1.6513851D-14  7.7374709D-08
   5   5000     17     56  1.2331646D-19  2.9575842D-11
   6   5000     36    110  4.6563339D+03  5.2197557D-07
   7   5000    393   1181  1.8684193D-13  9.5599809D-07
   8   5000    490   1472  1.2502500D+06  9.8423389D-07
   9   5000      5     17  5.0000000D+03  1.8495305D-08
  10   5000    446   1372 -8.7733709D+07  9.7450188D-07
  11   5000    393   1268  4.5293835D+01  9.4185769D-07
  12   5000    528   1586 -1.2478529D+07  9.7479567D-07
  13   5000     69    223 -6.8960676D+05  9.5967724D-07
  14   5000     22     70  4.9972103D+03  7.5880723D-07
  15   5000     14     46  9.5957597D-08  7.3622376D-07
  16   5000      8     27  6.3981667D+03  8.7726413D-07
  17   5000     45    137  1.1148543D+00  8.3141709D-07
  18   5000      5     18  4.6947479D-20  6.1840950D-12
  19   5000      3     44  3.4657359D+03  6.3958842D-09
  20   5000      7     44  3.4248782D-12  3.8728152D-07
  21   5000    368   1300  4.9987220D+03  8.6498539D-07
  22   5000     14     45  1.9329976D+03  4.9915627D-13
  23   5000     56    194  1.2525179D-07  9.3556120D-07
  24   5000     11     81  1.0721480D-12  1.2097587D-07
  25   5000     57    291 -2.5015606D+03  8.8005159D-12
  26   5000     19     88  4.9946653D+02  3.1981259D-08
  27   5000    243    803  4.8254150D-11  9.9996531D-07
  28   5000    182    683  2.4188898D-10  4.7424639D-07
  29   5000     80    417  2.0159452D-15  8.8647511D-08
  30   5000    394   1184 -1.0000000D-04  9.7837008D-07
  31   5000     16     53  1.9990001D+04  2.0092148D-11
  32   5000     33    175  4.6160709D-15  8.4960163D-07
  33   5000    769   2316 -1.0000250D+00  9.9408766D-07
  34   5000      3     12  3.9658814D+04  9.9240061D-14
  35   5000     36    153  1.9482559D+03  5.6135678D-07
  36   5000   2576  10413  2.0006257D+04  9.2882184D-07
  37   5000    784   2354  4.0556786D-15  9.8028868D-07
  38   5000      9     30  0.0000000D+00  1.6085884D-07
  39   5000      9     39  2.8260543D-19  1.4806322D-07
  40   5000   5018  15175  7.7157969D-07  9.3874078D-07
  41   5000     11     36  3.3830510D-15  9.2756300D-07
  42   5000    724   3393 -4.9994474D+03  7.0383693D-07
  43   5000      9     29  1.0000000D+00  3.2623566D-08
  44   5000      9     29  1.0000000D+00  4.2006794D-07
  45   5000     10     32  1.0000000D+00  2.1576764D-07
  46   5000    281    845  1.0000000D+00  9.7616887D-07
  47   5000     61    192  2.2434865D-13  8.8177757D-07
  48   5000     34    104  5.6413471D-14  7.4225414D-07
  49   5000    394   1184  1.8676822D-13  9.6805852D-07
  50   5000    371   1115  1.3520009D-13  9.6847008D-07
  51   5000     23     72  3.0003285D+04  6.3494910D-07
  52   5000     47    320  8.4588415D-13  5.9543202D-08
  53   5000   9742  29229  1.5572811D-10  9.8380769D-07
  54   5000     21     80  3.0431033D-17  3.3823669D-07
  55   5000      5     17  0.0000000D+00  4.4938231D-10
  56   5000   5429  16296  1.9996014D-04  9.9818687D-07
  57   5000     24     78  5.5486684D+03  9.5680180D-07
  58   5000     11     35  1.8762536D-10  7.1391141D-07
  59   5000     11     43  2.5914116D-13  1.5220207D-08
  60   5000      7     44  2.0239472D-13  2.4712440D-08
  61   5000     11     35  1.7276045D-12  6.2145477D-07
  62   5000   1071   3813  1.2152976D-06  7.9623824D-07
  63   5000   2532   7599  3.4773010D-12  9.9734234D-07
  64   5000     11     35  2.5974155D-11  3.7081408D-07
  65   5000     10     32  3.4980906D-14  1.5387248D-07
  66   5000      2    131 -2.1545550D+75  1.3128762D+36
  67   5000      1    105 -5.6121304+146  6.7005256D+71
  68   5000      3     12 -2.5000000D-01  4.6260207D-10
  69   5000     12     61  1.9329976D+03  2.6677057D-08
  70   5000     30    111  4.6382024D-13  9.7780672D-07
  71   5000   6115  19081  4.3264538D-07  9.4513408D-07
  72   5000      4     16  2.0000000D-01  1.2924784D-07
  73   5000     21     78  3.1087276D-16  5.3917000D-07
  74   5000      6     43  2.4929102D-03  9.0265167D-07
  75   5000      8     31 -2.5000000D+03  2.3047400D-08
  76   5000      2     29  6.0543142D-20  1.2732926D-11
