method = 0 LS
	1 FR
	2 PRP+
	3 HS
	4 DY
	5 CG - Descent

 Pro  Dim flag  iter    nfg     evalf       ||evalg||_inf   method   cpu
  1   5000  0    206   5251  1.2246063D+05  7.1333076D-07      1     68  1
  1   5000  1  10000  10204  1.7156778+104  7.2233060D+84      2    257  1
  1   5000  1  10000  10029            NaN            NaN      3   1614  1
  1   5000  0     73    168  1.2246063D+05  6.1914059D-07      4      3  1
  1   5000  0     46    954  1.2246063D+05  6.4233612D-07      5     12  1
  2   5000  1  10000  50362  4.1023034D-07  1.5425062D-04      0   2440  1
  2   5000  0    167    292  4.5444617D-09  7.3763358D-07      1     15  1
  2   5000  0    133    340  6.3082546D-09  5.3253092D-07      2     18  1
  2   5000  0     39    109  2.1394271D-13  1.9865722D-07      3      5  1
  2   5000  0    213    291  1.2131696D-08  8.8471497D-07      4     16  1
  2   5000  0     96    195  5.7480278D-08  8.0513238D-07      5     10  1
  3   5000  1  10000  10087  1.0275314D+04  4.0893910D+00      0    200  1
  3   5000  0    112    209  1.1710524D-10  4.6696933D-07      1      3  1
  3   5000  0     26     61  5.9691065D-15  3.4129633D-08      2      1  1
  3   5000  0    145    383  6.8897950D-13  2.3047926D-07      3      6  1
  3   5000  0     54     91  1.0720099D-09  4.9580426D-07      4      1  1
  3   5000  0     27     81  4.6542820D-13  5.4460245D-07      5      0  1
  4   5000  1  10000  10048            NaN            NaN      0   2274  1
  4   5000  0     55    115  7.9027442D-12  2.0986500D-07      1      2  1
  4   5000  0     69    225  3.5872641D-10  2.5929694D-07      2      4  1
  4   5000  0     50    140  8.9597837D-12  6.6471742D-08      3      2  1
  4   5000  0     95    191  7.8547686D-10  7.5971917D-07      4      4  1
  4   5000  0     27     63  1.1996425D-18  1.4854784D-11      5      1  1
  5   5000  1  10000 144730  1.8282081D+04  5.4216385D-03      0   1870  1
  5   5000  0     25     54  1.5359666D-10  1.6745779D-07      1      2  1
  5   5000  0     14     50  1.4981978D-09  5.9948018D-07      2      0  1
  5   5000  0     14     34  2.3300398D-11  1.4930907D-07      3      0  1
  5   5000  0     18     42  1.1712785D-11  5.6129515D-08      4      2  1
  5   5000  0     15     30  1.1710720D-15  4.9889303D-09      5      0  1
  6   5000  1  10000  16886            NaN            NaN      0    264  1
  6   5000  0     57    170  4.6563339D+03  5.5734901D-07      1      1  1
  6   5000  1  10000  10118            NaN            NaN      2    211  1
