method = 2 YT+
	     3 NEW+

 Pro  Dim flag  iter    nfg  method  evalf    ||evalg||_inf   cpu    t  rho
   1   5000  0      8     18  2  1.2246063D+05  2.0026204D-07    1 0.10 1.00
   1   5000  0      9     39  2  1.2246063D+05  1.7325450D-08    0 0.20 1.00
   1   5000  1  10000  12646  2            NaN            NaN 1716 0.30 1.00
   1   5000  0     10     28  2  1.2246063D+05  8.4282021D-09    1 0.40 1.00
   1   5000  0      9     27  2  1.2246063D+05  1.7005195D-07    0 0.50 1.00
   1   5000  1  10000  10581  2            NaN            NaN 1704 0.60 1.00
   1   5000  0      9     26  2  1.2246063D+05  6.6629752D-07    0 0.70 1.00
   1   5000  0     10     24  2  1.2246063D+05  6.6502046D-07    1 0.80 1.00
   1   5000  0     16    111  2  1.2246063D+05  9.8970364D-07    1 0.90 1.00
   1   5000  1  10000  10271  2            NaN            NaN 1699 1.00 1.00
   1   5000  0      9     34  3  1.2246063D+05  2.4976541D-07    1 0.10 1.00
   1   5000  1  10000  10469  3            NaN            NaN 1699 0.20 1.00
   1   5000  1  10000  10968  3            NaN            NaN 1701 0.30 1.00
   1   5000  0     11     30  3  1.2246063D+05  2.4050578D-08    1 0.40 1.00
   1   5000  1  10000  10562  3            NaN            NaN 1696 0.50 1.00
   1   5000  1  10000  10260  3            NaN            NaN 1696 0.60 1.00
   1   5000  0     10     29  3  1.2246063D+05  3.4161837D-07    0 0.70 1.00
   1   5000  0      8     45  3  1.2246063D+05  9.5026004D-07    1 0.80 1.00
   1   5000  0      7     16  3  1.2246063D+05  2.8131935D-07    0 0.90 1.00
   1   5000  0     10     25  3  1.2246063D+05  5.0807873D-09    1 1.00 1.00
   2   5000  0     21     97  2  3.0851391D-13  4.6878495D-08    5 0.10 1.00
   2   5000  0     76    176  2  4.9465725D-08  7.5345017D-07   10 0.20 1.00
   2   5000  0     20     90  2  4.5123737D-11  6.9194315D-07    5 0.30 1.00
   2   5000  0     65    159  2  8.3320751D-09  8.7536206D-07    8 0.40 1.00
   2   5000  0     21     95  2  6.3739345D-11  5.5906321D-07    5 0.50 1.00
   2   5000  0     60    159  2  9.3992826D-08  7.6540188D-07    9 0.60 1.00
   2   5000  0     40    132  2  9.4489814D-13  7.2812741D-07    7 0.70 1.00
   2   5000  0     22     98  2  1.6091377D-11  8.9688166D-07    5 0.80 1.00
   2   5000  0     22     95  2  7.7178143D-13  4.9791988D-08    4 0.90 1.00
   2   5000  0     21     93  2  2.4859283D-10  9.1540902D-07    5 1.00 1.00
   2   5000  0     20     97  3  2.4414413D-12  1.4212612D-07    5 0.10 1.00
   2   5000  0     20     96  3  9.0029284D-15  9.5751563D-09    5 0.20 1.00
   2   5000  0     44    128  3  7.7607109D-11  8.2465257D-07    7 0.30 1.00
   2   5000  0     21     95  3  2.6632566D-15  9.0732874D-09    5 0.40 1.00
   2   5000  0     19     89  3  5.0525081D-11  5.4182737D-07    4 0.50 1.00
   2   5000  0     39    125  3  7.2833787D-13  4.6082237D-07    6 0.60 1.00
   2   5000  0     65    153  3  9.0742224D-08  9.7218520D-07    8 0.70 1.00
   2   5000  0     33    114  3  1.0783739D-11  9.4948210D-07    6 0.80 1.00
   2   5000  0     19     95  3  1.5318948D-12  1.5379298D-07    5 0.90 1.00
   2   5000  0     19     96  3  1.3210332D-10  6.9747308D-07    5 1.00 1.00
   3   5000  0     25     63  2  3.9328475D-19  1.3455903D-11    1 0.10 1.00
   3   5000  0     27     67  2  5.3003487D-12  5.0339755D-08    1 0.20 1.00
   3   5000  0     27     68  2  8.0965389D-16  2.0925835D-08    1 0.30 1.00
